full_url,name,stars,price,address,lat,lon,features,rating_text,rating,mark,local,dist_local,dist_baikal,dist_aeroport,dist_railway,dist_beach,meal_type,dist_baikal_meters,url,number_reviews
https://101hotels.com/main/cities/huzhir/svetlana_5.html,Светлана,,2000.0,"Хужир, улица Советская 35",53.18683,107.33954,"['ДЕТСКАЯ ПЛОЩАДКА', 'АВТОСТОЯНКА']",ХОРОШО,8.5,68.0,Хужир,800 м,,,,,,,svetlana_5.html,0
https://101hotels.com/main/cities/huzhir/turbaza_hello_baikal.html,Турбаза HELLO BAIKAL,,2100.0,"Хужир, Береговая, 24",53.19059,107.33068,"['БАНЯ/САУНА', 'ВЕРХОВАЯ ЕЗДА', 'АВТОСТОЯНКА']",ХОРОШО,8.5,13.0,Хужир,900 м,,,,,,,turbaza_hello_baikal.html,0
https://101hotels.com/main/cities/huzhir/u_mihalicha_2.html,У Михалыча,,3150.0,"Хужир, Сосновая, 8",53.1906,107.33068,['БАССЕЙН'],ОЧЕНЬ ХОРОШО,8.9,55.0,Хужир,900 м,,,,,,,u_mihalicha_2.html,0
https://101hotels.com/main/cities/huzhir/usadba_kaporova.html,Усадьба Капорова,,,"Хужир, Сосновая, 13",53.18289,107.31607,"['БАНЯ/САУНА', 'ОХОТА/УСЛУГИ ЕГЕРЯ', 'РЫБАЛКА', 'БАССЕЙН', 'ВЕРХОВАЯ ЕЗДА', 'АВТОСТОЯНКА']",ОЧЕНЬ ХОРОШО,9.1,14.0,Хужир,2.1 км,,,,,,,usadba_kaporova.html,0
https://101hotels.com/main/cities/huzhir/baikal_house.html,Baikal House,,3500.0,"Хужир, 41 Байкальская улица",53.19346,107.34294,"['ОХОТА/УСЛУГИ ЕГЕРЯ', 'РЫБАЛКА', 'ВЕРХОВАЯ ЕЗДА', 'АВТОСТОЯНКА']",ОТЛИЧНО,9.4,11.0,Хужир,0 м,,,,,,,baikal_house.html,0
https://101hotels.com/main/cities/huzhir/nice_houses_on_baikal.html,Nice houses on Baikal,,3200.0,"Хужир, Ольхон Хужир горького 3 а",53.19137,107.33781,['АВТОСТОЯНКА'],ВЕЛИКОЛЕПНО,9.8,4.0,Хужир,400 м,,,,,,,nice_houses_on_baikal.html,0
https://101hotels.com/main/cities/huzhir/pushkinskiy_guest_house.html,Pushkinskiy Guest House,,2160.0,"Хужир, Pushkina 20",53.19607,107.34196,['АВТОСТОЯНКА'],НОРМАЛЬНО,7.2,31.0,Хужир,300 м,,,,,,,pushkinskiy_guest_house.html,0
https://101hotels.com/main/cities/huzhir/barguzin.html,Баргузин,,5000.0,"Хужир, улица Ворошилова 23А",53.19987,107.35151,['БАНЯ/САУНА'],ХОРОШО,8.1,3.0,Хужир,900 м,,,,,,,barguzin.html,0
https://101hotels.com/main/cities/huzhir/gostevoy_dom_na_ulitse_baykalskaya_81.html,Гостевой дом На улице Байкальская 81,,3400.0,"Хужир, Улица Байкальская 81",53.19422,107.35317,[],ХОРОШО,8.5,17.0,Хужир,700 м,,,,,,,gostevoy_dom_na_ulitse_baykalskaya_81.html,0
https://101hotels.com/main/cities/huzhir/gostevoy_dom_olhonskiy_les.html,Гостевой дом Ольхонский лес,,3000.0,"Хужир, Хужир",53.1906,107.33068,"['ДЕТСКАЯ ПЛОЩАДКА', 'АВТОСТОЯНКА']",,,,Хужир,900 м,,,,,,,gostevoy_dom_olhonskiy_les.html,0
